תא,יחידת החיים הבסיסית ביותר
רקמה,קבוצת תאים בעלי מבנה דומה
איבר,מספר רקמות שונות הבונות יחידה תפקודית. למשל הכבד
מערכת,קבוצת איברים ורקמות בתיאום הקשורים לתפקוד פיזיולוגי מסויים. למשל מערכת הנשימה
מערכת הנשימה,אחראית על כניסת חמצן ופליטת CO2
דיפוזיה (פעפוע),"מעבר חומר (דרך ממברנה חדירה) מסביבה שבה הוא נמצא בריכוז גבוה לסביבה בה ריכוזו נמוך, עד להשוואת ריכוזים"
אוסמוזה,"מעבר נוזלים (דרך ממברנה חדירה למחצה) מסביבה בה קיים ריכוז נמוך של חומר לסביבה עם ריכוז גבוה, עד להשוואת ריכוזים"
הולכה סנסורית,מההיקף למרכז
הולכה מוטורית,מהמרכז להיקף
דנדריט,מערכת הקליטה של הנוירון
סומה,גוף התא של הנוירון
אקסון,סיב הנוירון. אחראי על מעבר המסר החשמלי
טרמינל,מערכת ההעברה. המידע שמועבר
